GUID;HudsonID
65CAFEA9-CF49-43ED-99AA-83AFE0539978;en-INT
FADAABC8-26DD-458B-B07E-BF96B4B3FCED;nl-BE
BE3C46AE-0192-4A9B-ACEE-37E51836F77C;fr-BE
BE39F135-6EF5-47E0-92D9-81B13BF9BEAA;en-GB
11BBB1BC-0CCD-4C9B-B0BE-5EFF9E634F75;en-US
84519898-A081-44B3-BBB6-CA26F2E87E78;sv-SE
D1E16E4B-9820-4203-A6AF-85A0538578CE;es-ES
4348786F-1E2C-450D-8153-7C1BF429FEED;no-NO
B26EA97C-651B-4DDA-ABE1-63D1850D89AF;ru-UA
747648B9-6256-4FFB-8513-A46BB50B0573;de-DE
1471B8FD-F9AC-412A-86B7-2665BC75995C;hu-HU
A01BF890-698E-44A6-9C15-888D5AFB7749;pl-PL
A80A08DB-5382-4025-B7B1-5AC73F2DA4CB;it-IT
B960D5FA-1221-4898-89E4-0BB41975A064;sk-SK
050A046B-226D-4F40-873B-799F1AFD72C7;nl-NL
81B7735E-083D-4AB5-AA59-42E74744F602;fr-FR
0ABBD19D-D3FF-4B4A-A54A-CBF10F2B96D1;en-IE
51E23428-A55A-48E7-906C-B867799D5515;ro-RO
50334890-8BDC-4480-B3DF-5D824BC83C5C;cs-CZ
D472F838-82D5-4B44-98DA-A77918FCE979;da-DK
55D35DB7-A093-45C9-8BAA-7E1F88871D68;fi-FI
1908113F-6F07-40FE-AE1B-4AC9F6F8E84A;ru-RU
C3389FD0-E729-4D22-8024-B8D6C76C380D;en-AU
910E7451-CBFA-4156-BFFF-0549C3E841E4;bg-BG
138E18CF-880E-4080-91C8-37090ED52B11;uk-UA
8E412238-4764-44A8-A3D4-4881415D971D;de-BE
9643C274-8B03-4825-A3FE-37A5AB7C1E42;pt-PT
B780D85C-3BDE-49AE-8EAB-3E9EC05A7A14;tr-TR
7B568B41-B1BF-4FFA-BD30-58164515B012;fr-LU
AE808929-AFD7-41CC-9811-DC00062C59FA;de-CH
BF792B04-9D01-44BF-B29B-03F7B466EA3C;fr-CH
C8CA719D-86B0-41FD-8F86-E822085616D7;de-AT
F14929C3-8514-4567-B2CE-9B0FCCD5D078;zh-CN
947295A7-E1B7-4D33-874C-91329EFA3679;el-GR
CFA5E625-D0BA-41DF-8257-2B8FD8E6FEB9;lt-LT
41532D8C-28F4-4D84-B526-9F9B72EA4A23;fr-INT
1C723139-76B6-47E4-A8B1-84B7DFCE414D;en-SG
915B946B-95D3-4BC7-89D5-AB568D9BD947;ja-JP
4B45700B-D100-4861-A3A5-9BF804C3D56E;ar-SA
DAA6B33F-893E-4DF6-A21E-D9170A5C3550;pt-BR
B120C202-2D61-49C2-8300-6BD1B4E37276;th-TH
CAB407D8-06F9-41B2-9FF5-D6E940C54575;en-CN
F524C40A-A307-4640-8B50-E9D7379BFA75;hr-HR
5019D8D7-0E15-4D3B-A537-FA933C698E9D;sr-CS
681C91B5-D6C7-462A-AC6D-DC8B5ACD6471;es-LM
77CF2859-BFCD-4FB2-B1EF-E059A0594FEF;zh-TW
B6385003-C956-4D54-8FD2-53BBCAAC5FE8;zh-HK
2636BBE3-F44C-45FF-8970-DAB0D091042B;en-BE
63B7DCBF-919E-49A6-8BF4-7CD9042C4C44;de-LU
902D3847-8BD1-45B8-BB3E-9D5DA1088204;et-EE
63E62EE8-E073-4C00-8FB1-F1029F8ECED8;ga-IRL
3953F08A-6CC2-4110-B78E-D1F0D1F63AF5;lv-LV
7DC44DBC-5643-4F6B-8DAB-13BE0884BC83;mt-MT
BB1B1CCB-84E2-4E4C-8F14-8B909D566DA4;sl-SL
